bathrooms,ROOMS,bedrooms,Yr_changed,price,STYLE,KITCHENS,FIREPLACES,sqft_living,latitude,longitude,ocean_proximity
6,15,6,2010.0,1815000.0,3 Story,3.0,4,2375,38.91279844,-77.03092197,1
3,9,4,2008.0,840000.0,2 Story,2.0,2,988,38.91391862,-77.02993084,1
3,9,4,2010.0,1525000.0,2 Story,2.0,1,1231,38.91392026,-77.02984459,1
2,6,2,1983.0,229000.0,2 Story,1.0,0,1888,38.91317154,-77.03067907,1
2,7,3,2013.0,1100000.0,2 Story,2.0,0,1900,38.91317264,-77.03061116,1
3,8,4,2004.0,1440000.0,2 Story,1.0,1,1891,38.91318347,-77.03054394,1
3,8,3,2002.0,830000.0,2 Story,2.0,2,1926,38.91317592,-77.03046957,1
4,13,6,1975.0,1000000.0,3 Story,2.0,2,1800,38.91201077,-77.03118498,1
3,10,4,2010.0,701800.0,3 Story,2.0,3,1800,38.9120107,-77.03111637,1
2,8,4,1985.0,442500.0,3 Story,1.0,2,1800,38.91200966,-77.03097536,1
3,9,5,1977.0,920000.0,3 Story,2.0,3,1800,38.91198303,-77.03083422,1
2,9,4,1988.0,45000.0,3 Story,1.0,2,1400,38.91576508,-77.03501782,1
